molecule_chembl_id,canonical_smiles
CHEMBL442331,CCCCc1nc2ccc(COc3ccccc3)cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
CHEMBL15294,Cc1cccc2c1N(C(=O)N1C[C@@H](C)N[C@@H](C)C1)Cc1c(C(=O)OC(C)(C)C)ncn1-2
CHEMBL13515,CCn1c(=O)c2nc(C(=O)O)cn2c2ccccc21
CHEMBL10008,CC(C)(C)C(=O)Oc1ccccc1C(=O)OCc1cc(=O)c(OC(=O)C(C)(C)C)co1
CHEMBL13520,CS1(=O)=Nc2nc(C(=O)O)cn2-c2ccccc21
CHEMBL12176,CN1Cc2ccccc2C(=O)c2ccc(CC(=O)O)cc21
CHEMBL8891,O=C(c1ccc(-c2ccccc2)cc1)c1ccc2n1CCC2C(=O)O
CHEMBL268102,CN(C)c1ncnc2c1ncn2C(c1ccccc1)c1ccccc1
CHEMBL453,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
CHEMBL13018,O=C(O)Cn1c(=O)c(=O)[nH]c2cc([N+](=O)[O-])c(-n3ccc(CNC(=O)NCCc4ccncc4)c3)cc21
CHEMBL11589,C=CCN(CC=C)S(=O)(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl
CHEMBL12844,CC(C)c1ccccc1Sc1c(O)cc(-c2ccccc2)oc1=O
CHEMBL11928,O=NN(CCCl)C(=O)NC1CCS(=O)(=O)CC1
CHEMBL13449,CC(C)n1c(=O)nc(-c2cccc([N+](=O)[O-])c2)c2cc3c(cc21)OCO3
CHEMBL266574,Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1COc1cccc(C#CC(C)n2oc(=O)[nH]c2=O)c1
CHEMBL266095,CS(=O)(=O)O.Nc1nc2ccc(Cl)cc2c2nc(-c3cccs3)nn12
CHEMBL7307,CCCOc1cccc(C(=O)OCC(O)CNC(C)C)c1
CHEMBL12487,CC(CN1CCN(CC(c2ccc(F)cc2)N2CCN(C3CCCCC3)CC2)CC1)C(=O)c1ccccc1
CHEMBL11405,O=C(Nc1ccc(Cl)cc1)NC1CCCCC1
CHEMBL7960,Cc1cc(-c2c(F)cc3c(=O)c(Cc4cccc(O)c4)cn(C4CC4)c3c2F)cc(C)n1
CHEMBL9632,O=C(c1ccccc1)c1ccc(OC(=O)C2CCCCC2)cc1
CHEMBL265620,NC(N)c1ccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCCCCC2)cc1
CHEMBL266808,O=C(Nc1ccc(C2=NCCN2)cc1)C1C[C@H]1C(=O)Nc1ccc(C2=NCCN2)cc1
CHEMBL14419,COc1ccc(C2(C)c3cc(C(=O)O)sc3C(=O)c3c2c2ccccc2n3C)cc1
CHEMBL13522,CN(C)Cc1ccc(CSCc2ccc(CN(C)C)o2)o1
CHEMBL274773,C=C1CC(c2ccccc2)(c2ccccc2)OC1=O
CHEMBL9082,CCCCC(=O)CN1C[C@@H](c2ccc3c(c2)OCO3)[C@H](C(=O)O)[C@H]1c1ccc(OC)cc1
CHEMBL10531,O=C1O[C@H](c2ccc(Cl)cc2)[C@@](Cn2cncn2)(c2ccc(Cl)cc2)O1
CHEMBL13131,COC(=O)c1ccccc1OCC(O)CNCCNC(C)=O
CHEMBL273668,C=C(C)Cc1cc(C(=O)c2ccccc2)ccc1OC(=O)C(C)(C)C
